"U:0","U:1","U:2","grad(U):0","grad(U):1","grad(U):2","grad(U):3","grad(U):4","grad(U):5","grad(U):6","grad(U):7","grad(U):8","nu","p","shearStress:0","shearStress:1","shearStress:2","shearStress:3","shearStress:4","shearStress:5","strainRate","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.0183e-06,3.366e-06,0.10929,-0.016792,-0.037129,-421.78,-0.034363,-0.019765,-421.55,-0.0017014,-0.0025245,0.036569,0.00094749,26.36,3.1746e-05,3.7454e-05,-6.9199e-05,6.7759e-05,0.3991,0.3991,596.61,0,0,0,1,0.00028115,0.0001988,0.0001988,0.0065
2.997e-06,3.3438e-06,0.10895,-0.01689,-0.037078,-423.69,-0.034317,-0.019868,-423.42,-0.0016886,-0.0025066,0.03677,0.00094523,26.36,3.1846e-05,3.7565e-05,-6.9412e-05,6.7506e-05,0.39992,0.39992,599.28,0,0,0,1,0.00028171,0.0001992,0.0001992,0.0065
2.9758e-06,3.3215e-06,0.10861,-0.016988,-0.037027,-425.6,-0.034271,-0.01997,-425.28,-0.0016758,-0.0024887,0.036971,0.00094297,26.36,3.1948e-05,3.7676e-05,-6.9625e-05,6.7254e-05,0.40074,0.40074,601.95,0,0,0,1,0.00028228,0.0001996,0.0001996,0.0065
2.9558e-06,3.298e-06,0.10827,-0.017096,-0.036976,-427.47,-0.034226,-0.020063,-427.19,-0.0016637,-0.0024703,0.037171,0.00094071,26.36,3.2081e-05,3.7754e-05,-6.9836e-05,6.7002e-05,0.40155,0.40156,604.62,0,0,0,1,0.00028284,0.0002,0.0002,0.0065
2.9358e-06,3.2745e-06,0.10793,-0.017203,-0.036924,-429.33,-0.03418,-0.020156,-429.1,-0.0016515,-0.0024519,0.037371,0.00093845,26.36,3.2214e-05,3.7832e-05,-7.0047e-05,6.675e-05,0.40237,0.40237,607.29,0,0,0,1,0.00028341,0.0002004,0.0002004,0.0065
2.9158e-06,3.251e-06,0.10759,-0.017311,-0.036873,-431.2,-0.034135,-0.020248,-431.01,-0.0016394,-0.0024334,0.037571,0.00093619,26.36,3.2348e-05,3.791e-05,-7.0258e-05,6.6498e-05,0.40319,0.40319,609.96,0,0,0,1,0.00028397,0.0002008,0.0002008,0.0065
2.8959e-06,3.2275e-06,0.10725,-0.017418,-0.036822,-433.06,-0.034089,-0.020341,-432.92,-0.0016272,-0.002415,0.037772,0.00093393,26.36,3.2481e-05,3.7988e-05,-7.0469e-05,6.6246e-05,0.40401,0.40401,612.63,0,0,0,1,0.00028454,0.0002012,0.0002012,0.0065
2.8759e-06,3.2039e-06,0.10691,-0.017526,-0.036771,-434.93,-0.034044,-0.020434,-434.83,-0.0016151,-0.0023966,0.037972,0.00093168,26.36,3.2614e-05,3.8066e-05,-7.068e-05,6.5995e-05,0.40483,0.40483,615.3,0,0,0,1,0.00028511,0.0002016,0.0002016,0.0065
2.8559e-06,3.1804e-06,0.10657,-0.017634,-0.036719,-436.79,-0.033998,-0.020526,-436.74,-0.0016029,-0.0023781,0.038172,0.00092942,26.36,3.2747e-05,3.8144e-05,-7.0891e-05,6.5743e-05,0.40565,0.40565,617.97,0,0,0,1,0.00028567,0.000202,0.000202,0.0065
2.8359e-06,3.1569e-06,0.10623,-0.017741,-0.036668,-438.66,-0.033953,-0.020619,-438.65,-0.0015908,-0.0023597,0.038372,0.00092716,26.36,3.288e-05,3.8222e-05,-7.1102e-05,6.5491e-05,0.40646,0.40646,620.64,0,0,0,1,0.00028624,0.0002024,0.0002024,0.0065
2.8148e-06,3.1342e-06,0.10587,-0.017824,-0.036604,-440.61,-0.033895,-0.020702,-440.57,-0.0015782,-0.0023419,0.038538,0.000925,26.36,3.2953e-05,3.8288e-05,-7.124e-05,6.5227e-05,0.40728,0.40728,623.38,0,0,0,1,0.0002868,0.0002028,0.0002028,0.0065
2.7933e-06,3.1117e-06,0.10551,-0.017897,-0.036535,-442.59,-0.033832,-0.020781,-442.51,-0.0015655,-0.0023242,0.03869,0.00092287,26.36,3.3002e-05,3.8349e-05,-7.1351e-05,6.496e-05,0.4081,0.4081,626.15,0,0,0,1,0.00028737,0.0002032,0.0002032,0.0065
2.7718e-06,3.0893e-06,0.10514,-0.017971,-0.036466,-444.57,-0.033769,-0.02086,-444.44,-0.0015528,-0.0023066,0.038842,0.00092075,26.36,3.3052e-05,3.841e-05,-7.1462e-05,6.4692e-05,0.40892,0.40892,628.92,0,0,0,1,0.00028793,0.0002036,0.0002036,0.0065
2.7503e-06,3.0668e-06,0.10478,-0.018044,-0.036397,-446.55,-0.033706,-0.020939,-446.38,-0.0015401,-0.002289,0.038994,0.00091863,26.36,3.3102e-05,3.8471e-05,-7.1572e-05,6.4424e-05,0.40974,0.40974,631.69,0,0,0,1,0.0002885,0.000204,0.000204,0.0065
2.7288e-06,3.0444e-06,0.10441,-0.018117,-0.036329,-448.53,-0.033644,-0.021018,-448.31,-0.0015273,-0.0022713,0.039147,0.0009165,26.36,3.3151e-05,3.8532e-05,-7.1683e-05,6.4156e-05,0.41056,0.41056,634.46,0,0,0,1,0.00028907,0.0002044,0.0002044,0.0065
2.7073e-06,3.0219e-06,0.10405,-0.01819,-0.03626,-450.51,-0.033581,-0.021097,-450.24,-0.0015146,-0.0022537,0.039299,0.00091438,26.36,3.3201e-05,3.8593e-05,-7.1793e-05,6.3889e-05,0.41138,0.41138,637.22,0,0,0,1,0.00028963,0.0002048,0.0002048,0.0065
2.6858e-06,2.9995e-06,0.10369,-0.018264,-0.036191,-452.49,-0.033518,-0.021176,-452.18,-0.0015019,-0.0022361,0.039451,0.00091225,26.36,3.3251e-05,3.8654e-05,-7.1904e-05,6.3621e-05,0.4122,0.4122,639.99,0,0,0,1,0.0002902,0.0002052,0.0002052,0.0065
2.6649e-06,2.9764e-06,0.10332,-0.018342,-0.036122,-454.45,-0.033455,-0.02125,-454.13,-0.0014895,-0.0022182,0.039603,0.00091013,26.36,3.3316e-05,3.8698e-05,-7.2014e-05,6.3353e-05,0.41302,0.41302,642.76,0,0,0,1,0.00029076,0.0002056,0.0002056,0.0065
2.6447e-06,2.9527e-06,0.10296,-0.018426,-0.036053,-456.38,-0.033392,-0.021317,-456.11,-0.0014774,-0.0022,0.039755,0.00090801,26.36,3.3398e-05,3.8725e-05,-7.2123e-05,6.3086e-05,0.41384,0.41384,645.53,0,0,0,1,0.00029133,0.000206,0.000206,0.0065
2.6244e-06,2.929e-06,0.10259,-0.018511,-0.035984,-458.32,-0.03333,-0.021385,-458.09,-0.0014653,-0.0021818,0.039906,0.00090588,26.36,3.348e-05,3.8752e-05,-7.2232e-05,6.2819e-05,0.41466,0.41466,648.3,0,0,0,1,0.00029189,0.0002064,0.0002064,0.0065
2.6041e-06,2.9053e-06,0.10223,-0.018595,-0.035915,-460.25,-0.033267,-0.021452,-460.07,-0.0014532,-0.0021637,0.040058,0.00090376,26.36,3.3562e-05,3.8779e-05,-7.2341e-05,6.2552e-05,0.41548,0.41548,651.07,0,0,0,1,0.00029246,0.0002068,0.0002068,0.0065
2.5839e-06,2.8816e-06,0.10187,-0.018679,-0.035847,-462.19,-0.033205,-0.02152,-462.05,-0.0014411,-0.0021455,0.04021,0.00090164,26.36,3.3644e-05,3.8806e-05,-7.245e-05,6.2284e-05,0.4163,0.4163,653.84,0,0,0,1,0.00029303,0.0002072,0.0002072,0.0065
2.5636e-06,2.8579e-06,0.1015,-0.018763,-0.035778,-464.12,-0.033142,-0.021587,-464.03,-0.001429,-0.0021273,0.040362,0.00089951,26.36,3.3726e-05,3.8833e-05,-7.2559e-05,6.2017e-05,0.41712,0.41712,656.61,0,0,0,1,0.00029359,0.0002076,0.0002076,0.0065
2.5434e-06,2.8342e-06,0.10114,-0.018848,-0.035709,-466.06,-0.03308,-0.021655,-466.01,-0.0014169,-0.0021092,0.040513,0.00089739,26.36,3.3808e-05,3.886e-05,-7.2668e-05,6.175e-05,0.41794,0.41794,659.38,0,0,0,1,0.00029416,0.000208,0.000208,0.0065
